seed,steps,humanSize,zombiesSize,redCrossSize,redCrossActivationDelay,redCrossEfficiencyProbability,redCrossExhaustionProbability,redCrossInformProbability,zombified,zombifiedAntidotersActivated,zombifiedAntidotersNoActivated,zombifiedNoAntidotersNoActivated,rescued,flee,humans,zombies,pursued,halfRescued
7928998346361258094,1000,250,4,20,4,0.95,0.6,1.0,53,19,1,33,197,549,0,44,3722,67
6644907059841600969,1000,250,4,20,4,0.95,0.6,1.0,66,16,4,46,184,1114,0,60,5021,84
2312054286043861124,1000,250,4,20,4,0.95,0.6,1.0,95,14,6,75,155,1830,0,86,6086,94
-7095617867408077008,1000,250,4,20,4,0.95,0.6,1.0,118,17,3,98,132,2144,0,104,8332,72
-2398865884777446752,1000,250,4,20,4,0.95,0.6,1.0,100,16,4,80,150,1929,0,76,11096,78
-3195821138516715527,1000,250,4,20,4,0.95,0.6,1.0,173,16,4,153,77,3201,0,162,13461,56
-3041540112775472083,1000,250,4,20,4,0.95,0.6,1.0,145,16,4,125,105,2747,0,122,10803,66
-2966453085908744958,1000,250,4,20,4,0.95,0.6,1.0,90,15,5,70,160,1775,0,83,7715,76
4452585631121088986,1000,250,4,20,4,0.95,0.6,1.0,174,14,6,154,76,3405,0,173,14191,81
-4219831859885549948,1000,250,4,20,4,0.95,0.6,1.0,87,17,3,67,163,1516,0,78,7150,72
-1380241509877734328,1000,250,4,20,4,0.95,0.6,1.0,91,16,4,71,159,1568,0,85,7466,88
-7470521600053026984,1000,250,4,20,4,0.95,0.6,1.0,158,16,4,138,92,3214,0,144,13548,67
185816613480439209,1000,250,4,20,4,0.95,0.6,1.0,131,19,1,111,119,2522,0,110,8671,59
4209477359072040842,1000,250,4,20,4,0.95,0.6,1.0,160,14,6,140,90,2514,0,146,12034,50
4480453273964724771,1000,250,4,20,4,0.95,0.6,1.0,81,16,4,61,169,1108,0,75,4896,78
-6514237800876967240,1000,250,4,20,4,0.95,0.6,1.0,124,16,4,104,126,2273,0,112,8145,72
-50880342189347467,1000,250,4,20,4,0.95,0.6,1.0,133,18,2,113,117,3301,0,117,9037,67
5405489738200570922,1000,250,4,20,4,0.95,0.6,1.0,43,19,1,23,207,559,0,37,3246,81
7389967392900743060,1000,250,4,20,4,0.95,0.6,1.0,134,14,6,114,116,2174,0,104,10952,58
-2161125034719985181,1000,250,4,20,4,0.95,0.6,1.0,77,19,1,57,173,1164,0,70,6441,86
