seed,steps,humanSize,zombiesSize,redCrossSize,redCrossActivationDelay,redCrossEfficiencyProbability,redCrossExhaustionProbability,redCrossInformProbability,zombified,zombifiedAntidotersActivated,zombifiedAntidotersNoActivated,zombifiedNoAntidotersNoActivated,rescued,flee,humans,zombies,pursued,halfRescued
-8563853816017797899,1000,250,4,20,4,1.0,0.6,1.0,56,0,2,54,176,1439,18,0,8277,83
-7322542340708497430,1000,250,4,20,4,1.0,0.6,1.0,43,0,6,37,193,798,14,0,6208,76
-2275601533764707175,1000,250,4,20,4,1.0,0.6,1.0,111,0,7,104,126,2538,13,0,16256,61
-60483213166271755,1000,250,4,20,4,1.0,0.6,1.0,65,0,4,61,169,3293,16,0,11215,91
-7963838847607758832,1000,250,4,20,4,1.0,0.6,1.0,32,0,2,30,200,1113,18,0,5279,63
-2384376345289864597,1000,250,4,20,4,1.0,0.6,1.0,30,0,3,27,203,555,17,0,4356,98
1006710452092390418,1000,250,4,20,4,1.0,0.6,1.0,31,0,2,29,200,1139,19,0,4493,109
5018544933568957444,1000,250,4,20,4,1.0,0.6,1.0,77,0,4,73,157,2042,16,0,8205,93
-8350052513805922628,1000,250,4,20,4,1.0,0.6,1.0,19,0,3,16,214,1713,17,0,2918,85
2326233565166600407,1000,250,4,20,4,1.0,0.6,1.0,31,0,5,26,204,572,15,0,6144,75
2097986868376174854,1000,250,4,20,4,1.0,0.6,1.0,24,0,1,23,207,1651,19,0,4416,94
6317572372622879981,1000,250,4,20,4,1.0,0.6,1.0,49,0,0,49,181,1701,20,0,6378,97
260410584698775976,1000,250,4,20,4,1.0,0.6,1.0,95,0,5,90,140,1950,15,0,12067,96
-3596963042405533505,1000,250,4,20,4,1.0,0.6,1.0,73,0,2,71,159,1684,18,0,9980,90
8658178246280823475,1000,250,4,20,4,1.0,0.6,1.0,89,0,7,82,148,1709,13,0,16032,74
2134485679269746398,1000,250,4,20,4,1.0,0.6,1.0,19,0,1,18,212,492,19,0,2870,175
5188106613832309027,1000,250,4,20,4,1.0,0.6,1.0,142,0,3,139,91,3150,17,1,22641,62
7854318370135192996,1000,250,4,20,4,1.0,0.6,1.0,151,0,5,146,84,3244,15,0,20545,96
-6494476751726287049,1000,250,4,20,4,1.0,0.6,1.0,25,0,4,21,209,756,16,0,3206,93
-8705030586368224333,1000,250,4,20,4,1.0,0.6,1.0,18,0,4,14,216,2522,16,0,2825,78
-693496944370578891,1000,250,4,20,4,1.0,0.6,1.0,32,0,2,30,200,780,18,0,4650,110
7139182598322364333,1000,250,4,20,4,1.0,0.6,1.0,140,0,6,134,96,3086,14,0,23594,96
2958489507984899277,1000,250,4,20,4,1.0,0.6,1.0,11,0,5,6,224,517,15,0,2243,92
1645350390940253030,1000,250,4,20,4,1.0,0.6,1.0,13,0,3,10,220,316,17,0,2051,66
-2000836823259866490,1000,250,4,20,4,1.0,0.6,1.0,65,0,1,64,166,1639,19,0,9815,77
-616806497814638663,1000,250,4,20,4,1.0,0.6,1.0,29,0,2,27,203,527,18,0,5233,88
4962604715548091166,1000,250,4,20,4,1.0,0.6,1.0,26,0,3,23,207,476,17,0,3584,69
-5136360021613396523,1000,250,4,20,4,1.0,0.6,1.0,79,0,3,76,154,1798,17,0,11869,89
-6837609258570357308,1000,250,4,20,4,1.0,0.6,1.0,31,0,1,30,200,1154,19,0,4611,76
-7215988996730137261,1000,250,4,20,4,1.0,0.6,1.0,73,0,5,68,162,1602,15,0,11029,88
2851602852419697743,1000,250,4,20,4,1.0,0.6,1.0,55,0,2,53,177,1271,18,0,7124,63
4722837158800410000,1000,250,4,20,4,1.0,0.6,1.0,29,0,3,26,204,1355,17,0,4024,84
-8768686573761430596,1000,250,4,20,4,1.0,0.6,1.0,44,0,1,43,187,844,19,0,6123,68
2168046565711495512,1000,250,4,20,4,1.0,0.6,1.0,90,0,1,89,141,3011,19,0,11724,82
-2372031111441977880,1000,250,4,20,4,1.0,0.6,1.0,8,0,3,5,225,255,17,0,1905,92
139108721343076259,1000,250,4,20,4,1.0,0.6,1.0,30,0,3,27,203,2405,17,0,5380,93
-3682267713825711666,1000,250,4,20,4,1.0,0.6,1.0,49,0,1,48,182,1116,19,0,8376,89
-5548122261032425259,1000,250,4,20,4,1.0,0.6,1.0,41,0,4,37,193,1568,16,0,7789,81
3293482714497447377,1000,250,4,20,4,1.0,0.6,1.0,20,0,5,15,215,394,15,0,3286,90
8767442991176345389,1000,250,4,20,4,1.0,0.6,1.0,48,0,2,46,184,1354,18,0,7372,65
5629275034075587288,1000,250,4,20,4,1.0,0.6,1.0,13,0,0,13,217,1528,20,0,1954,86
1691643401295169089,1000,250,4,20,4,1.0,0.6,1.0,98,0,3,95,135,2491,17,0,12948,82
7578141825101682278,1000,250,4,20,4,1.0,0.6,1.0,32,0,3,29,201,885,17,0,6411,80
-3216937911371200065,1000,250,4,20,4,1.0,0.6,1.0,125,0,1,124,106,3398,19,0,18651,62
8096617174118351079,1000,250,4,20,4,1.0,0.6,1.0,27,0,2,25,205,1114,18,0,4688,85
8556971184309745767,1000,250,4,20,4,1.0,0.6,1.0,35,0,5,30,200,917,15,0,5071,85
7454279654495352850,1000,250,4,20,4,1.0,0.6,1.0,54,0,3,51,179,1252,17,0,8730,117
1097155160238562480,1000,250,4,20,4,1.0,0.6,1.0,76,0,2,74,156,1961,18,0,12804,92
-8978549658957779783,1000,250,4,20,4,1.0,0.6,1.0,117,0,4,113,117,2747,16,0,19195,129
5112043389251595790,1000,250,4,20,4,1.0,0.6,1.0,24,0,5,19,211,530,15,0,3781,73
160560219084053787,1000,250,4,20,4,1.0,0.6,1.0,72,0,5,67,163,2357,15,0,9653,97
-2443118842247232205,1000,250,4,20,4,1.0,0.6,1.0,65,0,6,59,171,2225,14,0,10542,93
4862558882071754523,1000,250,4,20,4,1.0,0.6,1.0,52,0,1,51,179,1663,19,0,7329,126
-8380573059986514317,1000,250,4,20,4,1.0,0.6,1.0,106,0,6,100,130,2110,14,0,17275,100
-4794676524004491153,1000,250,4,20,4,1.0,0.6,1.0,15,0,3,12,218,231,17,0,3296,81
-1896815216047862310,1000,250,4,20,4,1.0,0.6,1.0,60,0,2,58,172,3214,18,0,8226,88
8620755789562625417,1000,250,4,20,4,1.0,0.6,1.0,68,0,2,66,164,2326,18,0,8046,69
5477813794946516286,1000,250,4,20,4,1.0,0.6,1.0,65,0,2,63,167,1685,18,0,11942,100
-4577265634369736848,1000,250,4,20,4,1.0,0.6,1.0,89,0,1,88,142,2422,19,0,14000,96
-8782818288507559116,1000,250,4,20,4,1.0,0.6,1.0,43,0,3,40,190,876,17,0,8053,93
72483929324231621,1000,250,4,20,4,1.0,0.6,1.0,47,0,2,45,185,1117,18,0,6224,91
-7221575123959762456,1000,250,4,20,4,1.0,0.6,1.0,11,0,2,9,221,207,18,0,1626,87
-6625524208381445478,1000,250,4,20,4,1.0,0.6,1.0,55,0,4,51,179,1150,16,0,7955,78
-8754649024049905784,1000,250,4,20,4,1.0,0.6,1.0,82,0,4,78,151,1324,17,0,11569,54
4708417240687206016,1000,250,4,20,4,1.0,0.6,1.0,56,0,2,54,176,1956,18,0,6243,78
8607944952359769445,1000,250,4,20,4,1.0,0.6,1.0,85,0,0,85,145,2735,20,0,11607,88
2530567423559327831,1000,250,4,20,4,1.0,0.6,1.0,33,0,3,30,200,1000,17,0,5062,70
2702951110749574074,1000,250,4,20,4,1.0,0.6,1.0,71,0,4,67,163,1751,16,0,9191,99
5732387277415053200,1000,250,4,20,4,1.0,0.6,1.0,6,0,1,5,225,927,19,0,1383,86
-8906857335686042218,1000,250,4,20,4,1.0,0.6,1.0,77,0,3,74,156,3203,17,0,12468,75
-348306961119117891,1000,250,4,20,4,1.0,0.6,1.0,114,0,8,106,124,3564,12,0,15732,73
-6769498051168425371,1000,250,4,20,4,1.0,0.6,1.0,15,0,1,14,216,325,19,0,2844,74
-2452593261784026213,1000,250,4,20,4,1.0,0.6,1.0,51,0,3,48,182,1176,17,0,8491,79
4049743377460816901,1000,250,4,20,4,1.0,0.6,1.0,78,0,2,76,154,2332,18,0,14406,85
6161218674424591038,1000,250,4,20,4,1.0,0.6,1.0,37,0,4,33,197,588,16,0,4764,82
5982149063556185670,1000,250,4,20,4,1.0,0.6,1.0,16,0,3,13,217,475,17,0,3018,81
-1834131668936700883,1000,250,4,20,4,1.0,0.6,1.0,102,0,6,96,134,3332,14,1,14153,105
-3248419415092742827,1000,250,4,20,4,1.0,0.6,1.0,26,0,3,23,207,612,17,0,4713,70
3163390040139992488,1000,250,4,20,4,1.0,0.6,1.0,24,0,3,21,209,803,17,0,3293,111
-8005824728786530692,1000,250,4,20,4,1.0,0.6,1.0,63,0,6,57,173,1340,14,0,10769,94
7731926936423714371,1000,250,4,20,4,1.0,0.6,1.0,40,0,4,36,194,873,16,0,5170,81
-2201175037667018616,1000,250,4,20,4,1.0,0.6,1.0,24,0,3,21,209,539,17,0,3574,89
-5273790566567138496,1000,250,4,20,4,1.0,0.6,1.0,94,0,3,91,139,2692,17,0,15403,103
7500919996456682648,1000,250,4,20,4,1.0,0.6,1.0,26,0,3,23,207,1129,17,0,3565,81
5018119099438183481,1000,250,4,20,4,1.0,0.6,1.0,58,0,3,55,175,1060,17,0,8288,56
6698354832963727933,1000,250,4,20,4,1.0,0.6,1.0,17,0,4,13,217,314,16,0,2747,73
2083777835461620176,1000,250,4,20,4,1.0,0.6,1.0,21,0,3,18,212,488,17,0,3101,77
-5320292326716727322,1000,250,4,20,4,1.0,0.6,1.0,67,0,4,63,167,1312,16,0,10209,76
-7890595513376391656,1000,250,4,20,4,1.0,0.6,1.0,108,0,3,105,125,3149,17,0,15954,92
1951462841067826839,1000,250,4,20,4,1.0,0.6,1.0,23,0,2,21,209,484,18,0,2928,92
417528888199485152,1000,250,4,20,4,1.0,0.6,1.0,43,0,2,41,189,849,18,0,5875,80
-7273288456077803457,1000,250,4,20,4,1.0,0.6,1.0,48,0,2,46,184,1289,18,0,9215,100
7549041596184512599,1000,250,4,20,4,1.0,0.6,1.0,85,0,1,84,146,2313,19,2,11367,79
-3079202267224931566,1000,250,4,20,4,1.0,0.6,1.0,7,0,3,4,226,205,17,0,1346,74
-4588190554285236709,1000,250,4,20,4,1.0,0.6,1.0,52,0,3,49,181,2038,17,0,8723,112
5910856259681822694,1000,250,4,20,4,1.0,0.6,1.0,80,0,5,75,155,1992,15,1,11046,76
-2006067851928510135,1000,250,4,20,4,1.0,0.6,1.0,64,0,2,62,168,2776,18,0,9315,86
-296015377370641565,1000,250,4,20,4,1.0,0.6,1.0,55,0,6,49,181,1760,14,0,10515,97
2127767170103646136,1000,250,4,20,4,1.0,0.6,1.0,120,0,3,117,113,2738,17,0,15504,89
-4634499670928411225,1000,250,4,20,4,1.0,0.6,1.0,32,0,3,29,201,643,17,0,5182,70
-3410183816125260763,1000,250,4,20,4,1.0,0.6,1.0,12,0,3,9,221,314,17,0,2143,106
9104428672520398212,1000,250,4,20,4,1.0,0.6,1.0,7,0,2,5,225,342,18,0,1337,86
-2611635792871746625,1000,250,4,20,4,1.0,0.6,1.0,10,0,0,10,220,290,20,0,1716,92
-2430754642779145057,1000,250,4,20,4,1.0,0.6,1.0,50,0,3,47,183,2973,17,0,7967,107
-6298303512638188860,1000,250,4,20,4,1.0,0.6,1.0,59,0,2,57,173,1286,18,0,8223,96
-5306878698252396054,1000,250,4,20,4,1.0,0.6,1.0,67,0,3,64,166,1242,17,0,11411,80
-7970415656427420885,1000,250,4,20,4,1.0,0.6,1.0,88,0,3,85,145,1839,17,0,13885,87
-569680433827221432,1000,250,4,20,4,1.0,0.6,1.0,27,0,1,26,204,804,19,0,3573,97
-2745992180032552698,1000,250,4,20,4,1.0,0.6,1.0,65,0,1,64,166,1990,19,0,8071,82
7600052861363821033,1000,250,4,20,4,1.0,0.6,1.0,45,0,0,45,185,1556,20,0,6907,97
7479333041168984538,1000,250,4,20,4,1.0,0.6,1.0,41,0,3,38,192,1433,17,0,6520,77
2598227232652590582,1000,250,4,20,4,1.0,0.6,1.0,53,0,4,49,181,1264,16,0,9272,77
4682752562028568527,1000,250,4,20,4,1.0,0.6,1.0,88,0,3,85,145,2576,17,0,11974,83
1353078262339568204,1000,250,4,20,4,1.0,0.6,1.0,76,0,3,73,157,1747,17,0,12257,93
