seed,steps,humanSize,zombiesSize,redCrossSize,redCrossActivationDelay,redCrossEfficiencyProbability,redCrossExhaustionProbability,redCrossInformProbability,zombified,zombifiedAntidotersActivated,zombifiedAntidotersNoActivated,zombifiedNoAntidotersNoActivated,rescued,flee,humans,zombies,pursued,halfRescued
4963697793910598278,1000,250,4,0,4,1.0,0.6,1.0,52,0,0,52,198,893,0,55,3904,103
511033046779429731,1000,250,4,0,4,1.0,0.6,1.0,84,0,0,84,166,1705,0,87,7168,75
6642954507280417558,1000,250,4,0,4,1.0,0.6,1.0,115,0,0,115,135,2151,0,116,7792,90
-4831223415193255521,1000,250,4,0,4,1.0,0.6,1.0,97,0,0,97,153,2003,0,99,6178,86
-1254439531282152806,1000,250,4,0,4,1.0,0.6,1.0,48,0,0,48,202,677,0,50,2455,58
-3540216411114485223,1000,250,4,0,4,1.0,0.6,1.0,70,0,0,70,180,1305,0,74,5065,82
-949883359338610566,1000,250,4,0,4,1.0,0.6,1.0,102,0,0,102,148,1927,0,105,7333,62
-4677351094856271241,1000,250,4,0,4,1.0,0.6,1.0,149,0,0,149,101,2881,0,151,10816,59
1462990335308273875,1000,250,4,0,4,1.0,0.6,1.0,157,0,0,157,93,3027,0,157,14568,87
1968043525913925055,1000,250,4,0,4,1.0,0.6,1.0,127,0,0,127,123,2411,0,131,9323,66
3489012091173372194,1000,250,4,0,4,1.0,0.6,1.0,144,0,0,144,106,2812,0,146,8557,60
-5581645828942112273,1000,250,4,0,4,1.0,0.6,1.0,114,0,0,114,136,2492,0,117,8265,83
-5403876307074701,1000,250,4,0,4,1.0,0.6,1.0,148,0,0,148,102,3310,0,150,11439,51
-5501473892545887417,1000,250,4,0,4,1.0,0.6,1.0,153,0,0,153,97,2850,0,155,8980,84
7866605024461092464,1000,250,4,0,4,1.0,0.6,1.0,53,0,0,53,197,1012,0,57,3824,67
-4721669472167691218,1000,250,4,0,4,1.0,0.6,1.0,193,0,0,193,57,3217,0,195,12386,56
-583897790916563041,1000,250,4,0,4,1.0,0.6,1.0,75,0,0,75,175,1500,0,76,5904,72
915874516165373466,1000,250,4,0,4,1.0,0.6,1.0,63,0,0,63,187,989,0,66,3797,60
-2178589635548123477,1000,250,4,0,4,1.0,0.6,1.0,129,0,0,129,121,2467,0,129,8408,46
3327237611642128789,1000,250,4,0,4,1.0,0.6,1.0,78,0,0,78,172,1220,0,81,4296,64
-9085711941970763910,1000,250,4,0,4,1.0,0.6,1.0,99,0,0,99,151,1692,0,101,6678,90
261313631565341996,1000,250,4,0,4,1.0,0.6,1.0,131,0,0,131,119,2586,0,133,8320,76
4372097796758279021,1000,250,4,0,4,1.0,0.6,1.0,45,0,0,45,205,821,0,46,3254,68
6952474171206061190,1000,250,4,0,4,1.0,0.6,1.0,117,0,0,117,133,2004,0,121,6827,99
-2264447230262295933,1000,250,4,0,4,1.0,0.6,1.0,126,0,0,126,124,2138,0,129,7719,78
-9098354261199837876,1000,250,4,0,4,1.0,0.6,1.0,134,0,0,134,116,2330,0,137,6701,86
-3713243989311270369,1000,250,4,0,4,1.0,0.6,1.0,168,0,0,168,82,3623,0,169,15577,74
5999823691267775088,1000,250,4,0,4,1.0,0.6,1.0,121,0,0,121,129,2207,0,122,9732,71
-6545708098458481012,1000,250,4,0,4,1.0,0.6,1.0,105,0,0,105,145,1759,0,109,6607,53
3811646194500734792,1000,250,4,0,4,1.0,0.6,1.0,76,0,0,76,174,1242,0,80,5214,58
-4623405726580563287,1000,250,4,0,4,1.0,0.6,1.0,190,0,0,190,60,3577,0,193,12013,72
-3888655338843802780,1000,250,4,0,4,1.0,0.6,1.0,85,0,0,85,165,1794,0,87,6921,84
-7464813394576512082,1000,250,4,0,4,1.0,0.6,1.0,110,0,0,110,140,1808,0,114,7949,73
9000161751391355300,1000,250,4,0,4,1.0,0.6,1.0,71,0,0,71,179,1429,0,72,3709,62
-4985244601703650753,1000,250,4,0,4,1.0,0.6,1.0,155,0,0,155,95,3056,0,153,13016,62
-2183093938914996079,1000,250,4,0,4,1.0,0.6,1.0,86,0,0,86,164,1467,0,89,6014,67
2453532132141485213,1000,250,4,0,4,1.0,0.6,1.0,142,0,0,142,108,3185,0,144,13025,80
-8687211176958536634,1000,250,4,0,4,1.0,0.6,1.0,146,0,0,146,104,3223,0,148,8884,89
8898005891424293598,1000,250,4,0,4,1.0,0.6,1.0,76,0,0,76,174,1163,0,76,3347,89
3487565768047692672,1000,250,4,0,4,1.0,0.6,1.0,118,0,0,118,132,2300,0,119,10593,85
3087465130073208297,1000,250,4,0,4,1.0,0.6,1.0,134,0,0,134,116,2614,0,135,12847,66
5777425078346070795,1000,250,4,0,4,1.0,0.6,1.0,78,0,0,78,172,1444,0,79,5451,72
2606134917431673938,1000,250,4,0,4,1.0,0.6,1.0,62,0,0,62,188,1074,0,64,3497,74
1656736251952689428,1000,250,4,0,4,1.0,0.6,1.0,63,0,0,63,187,1117,0,67,4715,66
4226660945633086396,1000,250,4,0,4,1.0,0.6,1.0,136,0,0,136,114,2874,0,139,11245,76
-2470403978993697214,1000,250,4,0,4,1.0,0.6,1.0,195,0,0,195,55,3881,0,197,10705,105
-5766000523587305747,1000,250,4,0,4,1.0,0.6,1.0,126,0,0,126,124,2495,0,128,12717,59
