runningHumansAvg,runningHumansMSE,runningHumansMed,runningZombiesAvg,runningZombiesMSE,runningZombiesMed,seed,walkingHumansAvg,walkingHumansMSE,walkingHumansMed,walkingZombiesAvg,walkingZombiesMSE,walkingZombiesMed
15.87,9.371931497829033,14.5,182.5,36.53258819191436,187.0,2636854331338362782,7.11,5.315816023904516,6.0,43.81,41.72857414290596,39.0
15.26,9.300129031362951,13.0,181.29,38.227815789029854,187.5,2636854331338362782,6.85,5.0741994442473395,6.0,45.85,43.49261431553636,39.0
14.65,8.854800957672623,13.0,182.45,38.20899763144802,189.5,2636854331338362782,6.69,5.033279249157552,6.0,45.42,42.94745161240652,39.0
14.06,8.73707044723802,12.5,179.24,41.36764919595987,187.0,2636854331338362782,6.49,4.8321734240401595,5.0,49.41,45.68765588208699,43.0
13.28,8.281400847682717,12.0,177.93,43.22181278012295,187.5,2636854331338362782,6.43,4.785927287370756,5.0,51.54,47.64544469306588,43.0
12.77,7.945885727846831,11.0,174.24,47.12560238341786,185.5,2636854331338362782,6.13,4.421888736727782,5.0,56.0,51.72194891919677,46.0
12.26,7.722201758566013,11.0,172.78,47.68387148711816,188.0,2636854331338362782,5.9,4.414748010928823,5.0,58.17,52.69763846701291,46.0
11.52,7.202055262215087,10.0,170.82,49.518558137328675,188.0,2636854331338362782,5.79,4.377887618475376,5.0,60.96,54.36467971026778,47.5
10.95,7.0998239414791104,9.0,168.69,50.184797498844205,185.0,2636854331338362782,5.63,4.09305509369224,5.0,63.79,55.1108510186515,50.0
10.43,6.882230743007678,9.0,167.61,50.34598196480034,178.5,2636854331338362782,5.44,3.8374991856676663,5.0,65.56,55.1837512316805,56.5
9.98,6.310277331464918,9.0,164.4,53.36103447273113,173.5,2636854331338362782,5.15,3.7957212753309473,4.0,69.48,58.26173358217208,56.5
9.6,6.058052492344383,8.5,161.39,55.39925902031542,174.5,2636854331338362782,4.94,3.8440083246527954,4.0,73.04,60.28945513105919,56.0
9.3,6.090155991434044,8.0,157.4,56.772704709217436,170.0,2636854331338362782,4.66,3.6721111094301055,4.0,77.61,61.77845821967396,62.5
9.1,6.210475022089697,7.0,153.97,58.236492854566706,169.0,2636854331338362782,4.18,3.2874914448557893,3.5,81.69,63.1687731398988,67.5
8.59,5.739503462844151,7.0,150.92,57.856837106775906,168.5,2636854331338362782,4.22,3.3062970223499275,3.0,85.18,62.776489229647105,68.0
8.39,5.553188273415553,7.0,147.72,60.15730712058178,164.5,2636854331338362782,3.94,3.2644141894067307,3.0,88.86,65.043988192607,74.0
8.27,5.29689531707018,7.0,147.29,60.82487895590093,163.0,2636854331338362782,3.67,3.1529509986677557,3.0,89.66,65.5078957073115,76.0
7.91,5.085459664573107,7.0,147.95,61.88867020707425,168.5,2636854331338362782,3.6,3.075711299845939,3.0,89.42,66.3273970543093,70.0
7.52,4.904039151556601,6.0,148.01,61.89046695574368,168.5,2636854331338362782,3.5,2.882707061079915,3.0,89.84,66.1904403973867,68.0
7.24,4.79816631641714,6.0,144.49,64.19774061444842,163.0,2636854331338362782,3.26,2.6669083223838044,3.0,93.88,68.30172472200098,74.5
7.06,4.736707717391902,6.0,144.06,65.49195675806305,156.5,2636854331338362782,3.09,2.592662723919176,3.0,94.62,69.53600218591805,80.5
6.83,4.677723805442129,6.0,142.7,64.390604904753,157.0,2636854331338362782,3.01,2.4677722747449775,3.0,96.29,68.34387975524949,81.0
6.66,4.604823557966147,6.0,141.51,63.633088091023836,157.5,2636854331338362782,2.69,2.2702202536317917,2.0,97.96,67.52154026679189,84.0
6.46,4.524201587020632,5.0,139.4,62.91994914174677,153.5,2636854331338362782,2.6,2.2271057451320098,2.0,100.36,66.63895557404842,87.0
6.2,4.433959855479074,5.0,136.21,61.635265067978736,145.5,2636854331338362782,2.51,2.0856413881585683,2.0,103.9,65.32036435905728,92.0
6.02,4.3862968435800145,5.0,132.32,62.589277036885484,138.0,2636854331338362782,2.35,1.9512816301087863,2.0,108.11,66.25932311758096,100.5
5.76,4.216918306061906,5.0,129.75,61.594054096154444,133.5,2636854331338362782,2.39,2.097117068739845,2.0,110.9,65.35143456726867,105.5
5.53,4.121783594513425,5.0,126.99,61.73240559058103,137.0,2636854331338362782,2.26,1.977978766316767,2.0,114.01,65.43508156944559,106.0
5.41,4.099012076098337,5.0,125.03,63.304732050613715,134.5,2636854331338362782,2.07,1.7621293936598417,2.0,116.27,66.79848127016064,103.0
5.2,3.937003937005906,4.0,123.58,61.43031499186702,135.0,2636854331338362782,2.08,1.64730082255792,2.0,117.92,64.85116498568087,106.0
5.03,3.8274142707577394,4.0,124.35,62.037629709717294,133.5,2636854331338362782,1.92,1.566397139936102,2.0,117.48,65.35540987554128,107.5
4.83,3.6525470565072804,4.0,120.17,62.250149397411086,124.5,2636854331338362782,1.88,1.6326665305566843,2.0,121.88,65.4026421484637,113.5
4.63,3.6322307195441192,4.0,117.06,61.683031702405806,120.0,2636854331338362782,1.87,1.6772298590235035,2.0,125.16,64.82819139849576,123.5
4.36,3.488610038396381,4.0,116.89,62.22071921795825,126.0,2636854331338362782,1.89,1.810497169288038,1.0,125.58,65.42846169672644,117.0
4.1,3.2999999999999994,3.0,114.77,63.5054100057625,120.5,2636854331338362782,1.78,1.7808986495587003,1.0,128.07,66.59538347363126,122.5
3.85,3.1156861202630783,3.0,109.19,64.86334789386066,115.5,2636854331338362782,1.8,1.7720045146669348,1.0,133.87,68.0208284277691,131.0
3.63,3.1706623913624106,3.0,104.93,64.94786447605495,107.0,2636854331338362782,1.71,1.6266222671536252,1.0,138.44,67.93943184925821,138.0
3.42,3.08927175884544,3.0,101.61,64.47912763057515,97.0,2636854331338362782,1.65,1.49248115565993,1.0,142.02,67.30111143213014,144.0
3.34,3.0338754094392204,3.0,100.6,66.54276820211194,97.5,2636854331338362782,1.59,1.4972975656161331,1.0,143.17,69.32388549410658,145.5
3.2,2.792848008753789,3.0,99.35,67.10519726518952,91.0,2636854331338362782,1.49,1.4798310714402507,1.0,144.65,69.8667839534639,154.0
3.05,2.7069355367278334,2.5,97.34,65.28556042495154,95.0,2636854331338362782,1.51,1.5198355174162763,1.0,146.78,67.8515408815452,150.0
2.91,2.6118767199085036,2.0,95.22,63.07163863417534,93.0,2636854331338362782,1.56,1.6206171663906326,1.0,148.99,65.59778883468559,151.5
2.84,2.5207935258564915,2.0,95.83,64.62956831048774,92.5,2636854331338362782,1.42,1.4844527611210805,1.0,148.58,67.08191708649954,151.0
2.76,2.6234328655408725,2.0,91.56,65.92364067616411,84.0,2636854331338362782,1.29,1.3438377878300645,1.0,153.05,68.32194010711348,163.5
2.68,2.59568873326522,2.0,87.75,65.11380421999624,77.5,2636854331338362782,1.23,1.2478381305281536,1.0,156.99,67.52873388417704,167.5
2.53,2.422622545920019,2.0,86.6,64.30334361446535,75.0,2636854331338362782,1.25,1.306713434537198,1.0,158.27,66.67036148094593,169.5
2.43,2.3334738052954442,2.0,82.99,64.98268923336428,70.5,2636854331338362782,1.19,1.3091600360536528,1.0,162.03,67.37676973556984,175.5
