runningHumansAvg,runningHumansMSE,runningHumansMed,runningZombiesAvg,runningZombiesMSE,runningZombiesMed,seed,walkingHumansAvg,walkingHumansMSE,walkingHumansMed,walkingZombiesAvg,walkingZombiesMSE,walkingZombiesMed
40.85,18.96701083460438,36.5,170.15,31.018824929387634,178.0,-8084726336564210679,21.03,13.617235402239325,16.0,18.41,24.072430288610246,6.0
39.6,18.639742487491613,36.0,171.54,31.074240135520604,178.0,7304266287401441931,19.69,13.249675467723728,15.0,19.57,24.888252248802043,8.0
37.58,17.90652395078397,34.5,172.75,31.479000937132678,180.5,-599491976384908170,19.18,13.133453468147668,14.5,20.84,25.65218119380884,9.0
36.37,17.60946052552434,34.0,173.18,31.218705930899834,181.0,7448670166615235201,18.28,12.767207995485935,15.0,22.48,26.572722856342747,12.0
34.87,16.91073919141325,32.0,172.79,31.847227508842902,181.0,-2690521923546572450,17.44,12.319350632237077,14.5,25.16,29.259774435220788,13.0
33.31,16.53765098192606,30.5,174.99,32.76232439861372,182.0,-8431360312674982380,16.68,12.212190630677199,14.0,25.23,29.993284248311312,12.5
31.99,16.350837899019123,29.0,176.99,32.213194501632394,183.5,3034538136740479091,15.79,11.34662504888568,12.5,25.4,30.058942097153057,12.0
30.81,15.906410657341894,28.5,176.9,31.75547196941025,182.0,-6261406433458955532,15.11,10.914114714442029,11.5,27.32,30.730727293703946,16.0
29.78,16.042181896487776,27.0,177.7,30.745894034813816,183.0,-2639718355426238096,14.33,10.064844757868846,11.5,28.29,30.106575693691894,17.5
28.23,15.431043386628136,26.0,177.97,30.129206760218562,184.0,-1166527104987154159,13.81,9.40073933262698,11.0,30.07,31.039412043400556,19.0
26.89,14.799253359544867,24.5,179.08,31.376640992942505,183.0,-8971248304991830555,13.01,8.85945257902541,10.0,31.0,32.50384592629001,22.5
25.89,14.286983586467791,24.0,180.28,31.94748190389971,186.0,9162124620987745322,12.47,8.624911593749818,10.0,31.27,33.454403297622875,22.0
24.81,13.530480405366252,23.0,182.32,31.715258157549346,187.0,-1537028061864731637,11.87,8.03324965378271,9.5,30.86,34.11100115798422,19.0
23.95,13.305919735215598,22.0,183.46,30.9054752430698,186.0,1879894239833095150,11.15,7.50116657594004,10.0,31.27,33.3448211871049,20.5
23.23,13.00065767567164,21.0,185.84,30.143894904275392,190.5,-8639408471740789273,10.59,6.945638919494735,9.5,30.16,32.55233324970731,21.5
22.33,12.073984429342289,20.5,186.5,28.86780213317252,192.0,-621408350690231115,10.22,6.846283663419154,9.0,30.72,31.044832098112565,21.0
21.12,11.718600599047654,19.0,184.35,30.133494652960522,190.0,1311292156631422334,10.13,6.906019113787622,9.0,34.17,32.64170798227323,26.5
20.47,11.765589657981447,18.0,185.13,29.406344553514295,193.0,1311292156631422334,9.53,6.597658675621226,8.0,34.6,31.772944465378085,25.5
19.54,10.698055898152711,18.0,184.34,30.598437868623293,190.5,1311292156631422334,8.92,6.426009648296522,8.0,36.84,33.43163771040839,28.0
18.7,10.088111815399353,17.0,185.82,33.810170067599486,193.0,1311292156631422334,8.42,6.31534638796638,7.0,36.64,35.914208887291394,29.0
17.87,9.893083442486471,16.0,185.53,35.09143912694377,193.0,1311292156631422334,7.84,5.549270222290495,6.5,38.27,36.750742849635024,28.0
17.03,9.509421643822508,16.0,186.23,34.33681843153205,195.0,1311292156631422334,7.31,5.334219718009374,6.0,38.91,35.99502604527464,30.5
15.94,8.48624769848253,14.0,185.78,35.49128907210894,194.5,1311292156631422334,7.25,4.903825037661927,7.0,40.48,37.75009403961796,29.5
15.01,8.124647684669164,12.5,185.92,35.515540260567626,194.0,1311292156631422334,7.02,4.905058613309325,6.0,41.48,37.63946864662147,32.0
14.43,7.757905645211214,12.0,183.99,36.27409406174054,192.5,1311292156631422334,6.82,4.966648769542698,6.0,44.16,38.90802487919427,32.0
13.79,7.411200982296998,11.5,180.95,37.2508724730039,192.0,1311292156631422334,6.46,4.815433521501465,5.0,48.19,40.3050108547312,35.5
13.39,7.0397372110043985,12.0,178.26,38.33161097579907,189.0,1311292156631422334,6.17,4.9417709376295464,6.0,51.56,41.73615219447045,39.5
12.82,6.804968772889411,11.0,178.22,39.79939195515429,187.5,1311292156631422334,5.94,4.599608679007377,5.0,52.37,43.343201312316545,41.0
12.35,6.57780358478421,11.0,175.73,43.48536650414712,190.0,1311292156631422334,5.71,4.361868865520833,5.0,55.54,47.29258292798142,39.0
12.02,6.434252093289476,11.0,174.72,45.28158124447512,189.0,1311292156631422334,5.46,4.285837141096241,5.0,57.13,48.61618146255422,39.0
11.57,6.324958497887555,10.5,171.22,46.1427307384381,175.0,1311292156631422334,5.3,3.956008088970498,4.5,61.2,49.00469365275128,49.0
11.23,6.2495679850690475,10.0,169.81,46.760388150655885,173.0,1311292156631422334,5.08,3.931106714399903,4.0,63.15,49.72109713190166,55.0
10.83,5.968341478166274,10.0,168.49,44.502470717927565,171.5,1311292156631422334,4.85,3.871369266809871,4.0,65.09,47.31449989168227,55.5
10.38,5.696981656982934,9.5,165.93,44.98738823270362,172.5,1311292156631422334,4.73,3.9188135959751893,4.0,68.19,47.842386019093986,57.0
10.01,5.650654829309609,9.0,163.0,46.26748318203617,168.5,1311292156631422334,4.49,3.453968731763505,4.0,71.69,49.60094656354857,63.5
9.77,5.56750392905115,9.0,162.41,46.72003745717676,164.0,1311292156631422334,4.18,3.3026655900953696,3.0,72.81,50.188782611256876,67.5
