runningHumansAvg,runningHumansMSE,runningHumansMed,runningZombiesAvg,runningZombiesMSE,runningZombiesMed,walkingHumansAvg,walkingHumansMSE,walkingHumansMed,walkingZombiesAvg,walkingZombiesMSE,walkingZombiesMed
91.63,15.572382605112182,92.0,95.963,28.721240067239453,95.0,62.817,16.8711443298906,62.0,2.119,6.865190383376176,0.0
89.737,16.03352210214588,90.0,99.55,29.593335398362886,99.0,60.846,17.210993114867037,60.0,2.322,7.19682680075048,0.0
87.763,16.45529796144694,88.0,102.892,30.072351687222593,103.0,58.965,17.278419343215397,58.0,2.762,8.801440563907608,0.0
85.766,16.861353563697072,86.0,106.599,30.731420386959,107.0,56.981,17.557580670468315,56.0,2.949,8.907996351593425,0.0
83.829,17.18219307888256,85.0,110.178,31.030409536453117,111.0,55.029,17.512799861815367,54.0,3.196,9.296858824355745,0.0
81.622,17.430235684006114,82.0,113.874,31.289105516137727,115.0,53.194,17.63928467937404,52.0,3.463,9.115077125290805,0.0
79.572,17.74071069602339,80.0,117.478,31.66498880467194,119.0,51.293,17.783114209834014,49.0,3.734,9.211799172800061,0.0
77.53,17.98057563038515,77.0,120.959,32.103291404465054,123.0,49.388,17.80155768465221,48.0,4.129,10.196781796233578,0.0
75.382,18.15015360816543,75.0,124.466,32.38859126297405,127.0,47.648,17.79854196275638,46.0,4.436,10.359628564770137,0.0
73.248,18.38859690134079,72.0,128.229,32.230739349260986,131.5,45.694,17.683618521105913,43.0,4.673,10.524736148711714,0.0
71.171,18.68362274827877,70.0,132.002,32.398086301508606,135.0,43.849,17.489488242941814,41.0,4.758,10.551939916432348,0.0
69.068,18.913576499435532,67.0,135.776,32.62780752670949,139.0,42.005,17.29465162991149,40.0,4.86,10.669976569796287,0.0
66.918,19.255473923017316,65.0,139.334,32.93518550122346,142.0,40.219,17.208458356285146,38.0,5.139,10.821445328605568,0.0
64.668,19.38901173345357,63.0,142.826,32.97240852591753,146.0,38.597,17.152451457444784,36.0,5.449,11.298203352745915,0.0
62.76,19.48272054924568,61.0,145.792,32.92872205233602,148.0,36.89,16.940244980519008,34.0,6.023,12.390822046982931,0.0
60.522,19.638623067822238,58.0,149.028,32.93966022897018,153.0,35.428,16.678993254989873,33.0,6.406,12.916391291688308,0.0
58.567,19.69348905095286,56.0,152.108,32.752073766404465,156.0,33.727,16.36332701500523,31.0,6.897,13.25354258302287,1.0
56.606,19.72188540682667,54.0,154.767,32.59678988796289,159.0,32.094,16.097178759024825,29.0,7.761,14.317607307088696,1.0
54.654,19.6831472077003,52.0,157.488,32.23956972417592,162.0,30.66,15.873764518853124,27.0,8.339,15.258049646006537,1.0
